,date,location,location_name,value
15511,2020-07-14,02,Alaska,0
15512,2020-09-11,26,Michigan,46
15513,2020-07-22,11,District of Columbia,61
15514,2020-08-07,32,Nevada,72
15515,2020-10-06,05,Arkansas,87
15516,2020-07-27,09,Connecticut,8
15517,2020-08-16,51,Virginia,54
15518,2020-08-07,22,Louisiana,169
15519,2020-08-16,48,Texas,534
15520,2020-09-21,09,Connecticut,13
15521,2020-08-02,35,New Mexico,12
15522,2020-09-16,27,Minnesota,42
15523,2020-08-21,49,Utah,9
15524,2020-07-31,20,Kansas,38
15525,2020-08-18,22,Louisiana,134
15526,2020-07-21,40,Oklahoma,53
15527,2020-08-15,54,West Virginia,9
15528,2020-08-27,30,Montana,21
15529,2020-09-23,45,South Carolina,67
15530,2020-08-12,29,Missouri,96
15531,2020-07-18,37,North Carolina,93
15532,2020-09-07,45,South Carolina,67
15533,2020-08-03,42,Pennsylvania,125
15534,2020-08-21,12,Florida,515
15535,2020-08-23,25,Massachusetts,16
15536,2020-08-10,27,Minnesota,29
15537,2020-10-02,35,New Mexico,15
15538,2020-09-04,17,Illinois,121
15539,2020-09-06,24,Maryland,40
15540,2020-07-29,41,Oregon,9
15541,2020-08-10,22,Louisiana,171
15542,2020-07-28,09,Connecticut,8
15543,2020-09-01,35,New Mexico,8
15544,2020-07-25,36,New York,72
15545,2020-08-06,10,Delaware,0
15546,2020-08-07,48,Texas,715
15547,2020-08-18,39,Ohio,89
15548,2020-08-30,16,Idaho,16
15549,2020-08-21,36,New York,455
15550,2020-08-20,39,Ohio,106
15551,2020-09-11,23,Maine,1
15552,2020-08-07,55,Wisconsin,67
15553,2020-07-22,56,Wyoming,3
15554,2020-09-23,19,Iowa,74
15555,2020-09-21,42,Pennsylvania,57
15556,2020-09-22,46,South Dakota,34
15557,2020-09-26,08,Colorado,14
15558,2020-09-24,32,Nevada,36
15559,2020-07-23,18,Indiana,15
15560,2020-09-26,11,District of Columbia,5
15561,2020-10-02,41,Oregon,8
15562,2020-07-26,46,South Dakota,2
